RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
31,"DEANLINDER-LEIGHTONACCEPTED
Australasia
Age 27
172 cm | 87 kg
View Profile",1533,"43rd (460 reps)14 rounds +
8 toes-to-bars
4 clean & jerksJudged by Kyrah Mayer at North Wollongong CrossFit.","352nd(4:22)110 reps
333 lb.(4:22)Judged by Kyrah Mayer at North Wollongong CrossFit.",983rd(333 lb)333 lb.(4:22)Judged by Kyrah Mayer at North Wollongong CrossFit.,"53rd (854 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
38 double-unders(12:40)Judged by Kyrah Mayer at North Wollongong CrossFit.",17th (7:06)165 reps(7:06)Judged by Kyrah Mayer at North Wollongong CrossFit.,"85th (175 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
7 thr.Judged by Kyrah Mayer at North Wollongong CrossFit."
32,"BRANDONLUCKETTACCEPTED
South Central
Age 23
73 in | 200 lb
View Profile",1545,"105th (452 reps)14 rounds +
4 toes-to-barsJudged by Steven Boudreaux at AllSport CrossFit.","457th(4:26)110 reps
337 lb.(4:26)Judged by Steven Boudreaux at AllSport CrossFit.",688th(337 lb)337 lb.(4:26)Judged by Steven Boudreaux at AllSport CrossFit.,"76th (831 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
15 double-unders(12:57)Judged by Steven Boudreaux at AllSport CrossFit.",134th (8:08)165 reps(8:08)Judged by Steven Boudreaux at AllSport CrossFit.,"85th (175 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
7 thr.Judged by Steven Boudreaux at AllSport CrossFit."
33,"BRANDONSWANACCEPTED
Australasia
Age 27
175 cm | 195 lb
View Profile",1570,"214th (445 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
11 caloriesJudged by Chris Partridge at CrossFit Kova.","249th(4:18)110 reps
342 lb.(4:18)Judged by Georgia Hardy at CrossFit Kova.",528th(342 lb)342 lb.(4:18)Judged by Georgia Hardy at CrossFit Kova.,"232nd(802 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
6 snatches(13:44)Judged by Kara Saunders at CrossFit Kova.",116th (8:01)165 reps(8:01)Judged by Lefty Ioannou at CrossFit Kova.,"231st(168 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PUJudged by Christian Case at CrossFit Kova."
34,"JASONSMITHACCEPTED
Africa Middle East
Age 34
185 cm | 195 lb
View Profile",1571,"87th (454 reps)14 rounds +
6 toes-to-barsJudged by Richard Smith at CrossFit Kyalami.","325th(4:21)110 reps
355 lb.(4:21)Judged by Richard Smith at CrossFit Kyalami.",207th(355 lb)355 lb.(4:21)Judged by Richard Smith at CrossFit Kyalami.,"133rd(812 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
16 snatches(13:24)Judged by Richard Smith at CrossFit Kyalami.",174th (8:23)165 reps(8:23)Judged by Richard Smith at CrossFit Kyalami.,"645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Richard Smith at CrossFit Kyalami."
35,"GEORGESTERNERACCEPTED
North Central
Age 19
68 in | 185 lb
View Profile",1583,"69th (456 reps)14 rounds +
8 toes-to-barsJudged by Andy Drobac at BrewCity CrossFit.","223rd(4:17)110 reps
366 lb.(4:17)Judged by Tony Oxley at BrewCity CrossFit.",88th (366 lb)366 lb.(4:17)Judged by Tony Oxley at BrewCity CrossFit.,"35th (886 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
70 double-unders(12:40)Judged by Tony Oxley at BrewCity CrossFit.","1122nd (151 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
5 deadlifts(7:55)Judged by Tony Oxley at BrewCity CrossFit.","46th (179 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
11 thr.Judged by Tony Oxley at BrewCity CrossFit."
36,"JOESCALIACCEPTED
Canada West
Age 32
72 in | 195 lb
View Profile",1604,"43rd (460 reps)14 rounds +
8 toes-to-bars
4 clean & jerksJudged by Sharan Dhaliwal at CrossFit Semiahmoo.","352nd(4:22)110 reps
341 lb.(4:22)Judged by Sharan Dhaliwal at CrossFit Semiahmoo.",571st(341 lb)341 lb.(4:22)Judged by Sharan Dhaliwal at CrossFit Semiahmoo.,"135th(812 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
16 snatches(13:25)Judged by Sharan Dhaliwal at CrossFit Semiahmoo.",104th (7:55)165 reps(7:55)Judged by Sharan Dhaliwal at CrossFit Semiahmoo.,"399th(164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Sharan Dhaliwal at CrossFit Semiahmoo."
37,"PHILIPBISGAARDACCEPTED
Europe North
Age 22
182 cm | 93 kg
View Profile",1617,"69th (456 reps)14 rounds +
8 toes-to-barsJudged by Cecilie Sølvsten Aaes at CrossFit Nordvest.","276th(4:19)110 reps
347 lb.(4:19)Judged by Nikolaj Rønnow at CrossFit Nordvest.",355th(347 lb)347 lb.(4:19)Judged by Nikolaj Rønnow at CrossFit Nordvest.,"117th(814 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
18 snatches(13:18)Judged by Jeanette Bystrup at CrossFit Nordvest.","483rd (163 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
40 ft. handstand walk(8:41)Judged by Magnus Ostermann at CrossFit Nordvest.","317th(166 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 19 PUJudged by Signe Ellegaard Andreasen at CrossFit Nordvest."
38,"HAROLDFISHERACCEPTED
Central East
Age 21
68 in | 190 lb
View Profile",1621,"419th (435 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
1 caloriesJudged by Garrett Wade at CrossFit Syndicate.","100th(4:08)110 reps
340 lb.(4:08)Judged by Garrett Wade at CrossFit Syndicate.",593rd(340 lb)340 lb.(4:08)Judged by Garrett Wade at CrossFit Syndicate.,"126th(813 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
17 snatches(13:24)Judged by Christian Haynes at CrossFit Rutherford.",66th (7:39)165 reps(7:39)Judged by Garrett Wade at CrossFit Syndicate.,"317th(166 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 19 PUJudged by Garrett Wade at CrossFit Syndicate."
39,"MITCHELLSINNAMONACCEPTED
Australasia
Age 28
172 cm | 90 kg
View Profile",1650,"305th (440 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Tremaine Jensen at CrossFit Craigieburn.","91st(4:07)110 reps
353 lb.(4:07)Judged by Cameron Joseph at CrossFit South Wharf.",246th(353 lb)353 lb.(4:07)Judged by Cameron Joseph at CrossFit South Wharf.,"644th(744 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
48 double-unders(11:57)Judged by Cameron Joseph at CrossFit South Wharf.",208th (8:31)165 reps(8:31)Judged by Chris Medcraft at CrossFit Geelong.,"156th(171 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
3 thr.Judged by Mark Pamilara at CrossFit Health Creation."
40,"BENSMITHACCEPTED
Mid Atlantic
Age 28
71 in | 195 lb
View Profile",1651,"143rd (448 reps)14 rounds +
0 toes-to-barsJudged by Kelley Boblit at CrossFit Krypton.","1054th(4:41)110 reps
385 lb.(4:41)Judged by David Jones at CrossFit Krypton.",14th (385 lb)385 lb.(4:41)Judged by David Jones at CrossFit Krypton.,"42nd(872 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
56 double-unders(12:42)Judged by Jb Anderson at CrossFit Krypton.",37th (7:22)165 reps(7:22)Judged by Jb Anderson at CrossFit Krypton.,"361st(165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Jb Anderson at CrossFit Krypton."
41,"KLAUS HEBOUGGERHOJACCEPTED
Europe North
Age 27
176 cm | 189 lb
View Profile",1667,"266th (442 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
8 caloriesJudged by Kim Kaldahl at CrossFit North 579.","122nd(4:10)110 reps
344 lb.(4:10)Judged by Kim Kaldahl at CrossFit North 579.",492nd(344 lb)344 lb.(4:10)Judged by Kim Kaldahl at CrossFit North 579.,"174th(807 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
11 snatches(13:37)Judged by Kim Kaldahl at CrossFit North 579.",126th (8:05)165 reps(8:05)Judged by Torben Keller at CrossFit North 579.,"487th(162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by Kim Kaldahl at CrossFit Aalborg."
42,"CHRISTIANLUCEROACCEPTED
West Coast
Age 25
69 in | 191 lb
View Profile",1669,"230th (444 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
10 caloriesJudged by Serafim Hatzis at CrossFit Costa Mesa.","78th(4:06)110 reps
333 lb.(4:06)Judged by Serafim Hatzis at CrossFit Costa Mesa.",979th(333 lb)333 lb.(4:06)Judged by Serafim Hatzis at CrossFit Costa Mesa.,"180th(807 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
11 snatches(13:40)Judged by Pete Taylor at CrossFit Roaster Barbell.",104th (7:55)165 reps(7:55)Judged by Pete Taylor at CrossFit Roaster Barbell.,"98th (174 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
6 thr.Judged by Pete Taylor at CrossFit Roaster Barbell."
43,"LEXOZIASACCEPTED
South East
Age 25
67 in | 184 lb
View Profile",1692,"446th (434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Peter Kazanas at Peak 360 CrossFit.","55th(4:03)110 reps
353 lb.(4:03)Judged by Peter Kazanas at Peak 360 CrossFit.",244th(353 lb)353 lb.(4:03)Judged by Peter Kazanas at Peak 360 CrossFit.,"445th(775 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
79 double-unders(11:48)Judged by Peter Kazanas at Peak 360 CrossFit.",103rd (7:54)165 reps(7:54)Judged by Peter Kazanas at Peak 360 CrossFit.,"399th(164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Peter Kazanas at Peak 360 CrossFit."
44,"COLESAGERACCEPTED
West Coast
Age 27
70 in | 200 lb
View Profile",1696,"49th (459 reps)14 rounds +
8 toes-to-bars
3 clean & jerksJudged by Kyle Renz at CrossFit Spokane Valley.","276th(4:19)110 reps
336 lb.(4:19)Judged by Cody Denham at CrossFit Duratus.",789th(336 lb)336 lb.(4:19)Judged by Cody Denham at CrossFit Duratus.,"73rd (833 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
17 double-unders(13:05)Judged by Johnathon Stephens at CrossFit Spokane Valley.","455th (164 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
45 ft. handstand walk(8:33)Judged by Jesica Johannes at CrossFit Spokane Valley.","54th (178 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
10 thr.Judged by Johnathon Stephens at CrossFit Spokane Valley."
45,"GENAMALKOVSKIYACCEPTED
Europe North
Age 27
180 cm | 98 kg
View Profile",1740,"15th (469 reps)14 rounds +
8 toes-to-bars
10 clean & jerks
3 caloriesJudged by Max Dokuchaev at CrossFit Idol.","9th (3:50)110 reps
342 lb.(3:50)Judged by Max Dokuchaev at CrossFit Idol.",516th(342 lb)342 lb.(3:50)Judged by Max Dokuchaev at CrossFit Idol.,"663rd(742 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
46 double-unders(12:11)Judged by Max Dokuchaev at CrossFit Idol.","503rd (162 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
35 ft. handstand walk(8:28)Judged by Max Dokuchaev at CrossFit Idol.","34th (180 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
12 thr.Judged by Max Dokuchaev at CrossFit Idol."
46,"FREDERIKAEGIDIUSACCEPTED
Europe North
Age 31
174 cm | 84 kg
View Profile",1752,"183rd (447 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
13 caloriesJudged by Evert Viglundsson at Reebok CrossFit Reykjavík.","26th(3:58)110 reps
333 lb.(3:58)Judged by Evert Viglundsson at Reebok CrossFit Reykjavík.",976th(333 lb)333 lb.(3:58)Judged by Evert Viglundsson at Reebok CrossFit Reykjavík.,"14th (918 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
100 double-unders
2 bar muscle-ups(13:48)Judged by Evert Viglundsson at Reebok CrossFit Reykjavík.",322nd (8:50)165 reps(8:50)Judged by Evert Viglundsson at Reebok CrossFit Reykjavík.,"231st(168 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PUJudged by Evert Viglundsson at Reebok CrossFit Reykjavík."
47,"TRAVISWILLIAMSTEAM
South Central
Age 26
69 in | 202 lb
View Profile",1775,"593rd (431 reps)13 rounds +
8 toes-to-bars
7 clean & jerksJudged by Scott Perkins at CrossFit Kemah.","369th(4:23)110 reps
342 lb.(4:23)Judged by Jason Petrillo at U Can CrossFit.",532nd(342 lb)342 lb.(4:23)Judged by Jason Petrillo at U Can CrossFit.,"250th(801 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
5 snatches(13:48)Judged by Todd Widman at Skyline CrossFit.",28th (7:15)165 reps(7:15)Judged by Jordan Cook at CrossFit Kemah.,"3rd (189 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
21 thr.Judged by Logan Collins at CrossFit Rejoice."
48,"ZEKEGROVEACCEPTED
Australasia
Age 26
169 cm | 182 lb
View Profile",1780,"305th (440 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by James Toole at Live Elite CrossFit.","5th (3:49)110 reps
333 lb.(3:49)Judged by James Toole at Live Elite CrossFit.",975th(333 lb)333 lb.(3:49)Judged by James Toole at Live Elite CrossFit.,"320th(797 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
1 snatches(13:57)Judged by James Toole at Live Elite CrossFit.",99th (7:53)165 reps(7:53)Judged by James Toole at Live Elite CrossFit.,"76th (176 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
8 thr.Judged by James Toole at Live Elite CrossFit."
49,"SAXONPANCHIKACCEPTED
Central East
Age 22
69 in | 180 lb
View Profile",1781,"446th (434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Spencer Panchik at CrossFit Mentality.","100th(4:08)110 reps
337 lb.(4:08)Judged by Spencer Panchik at CrossFit Mentality.",679th(337 lb)337 lb.(4:08)Judged by Spencer Panchik at CrossFit Mentality.,"56th (849 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
33 double-unders(12:50)Judged by Spencer Panchik at CrossFit Mentality.",139th (8:12)165 reps(8:12)Judged by Spencer Panchik at CrossFit Mentality.,"361st(165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Spencer Panchik at CrossFit Mentality."
50,"TRAVISMAYERACCEPTED
South East
Age 27
71 in | 195 lb
View Profile",1799,"201st (446 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
12 caloriesJudged by john maloney at CrossFit Passion.","276th(4:19)110 reps
352 lb.(4:19)Judged by Brannen Dorman at CrossFit Passion.",275th(352 lb)352 lb.(4:19)Judged by Brannen Dorman at CrossFit Passion.,"433rd(776 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
80 double-unders(11:23)Judged by john maloney at CrossFit Passion.",12th (6:53)165 reps(6:53)Judged by john maloney at CrossFit Passion.,602nd(160 reps)
51,"BARTEKLIPKAACCEPTED
Europe North
Age 28
177 cm | 183 lb
View Profile",1841,"305th (440 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Anna Lipka at CrossFit R99.","920th(4:38)110 reps
352 lb.(4:38)Judged by Anna Lipka at CrossFit R99.",280th (352 lb)352 lb.(4:38)Judged by Anna Lipka at CrossFit R99.,"265th (801 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
5 snatches(13:51)Judged by Anna Lipka at CrossFit R99.",2nd (6:34)165 reps(6:34)Judged by Michal Puchalski at CrossFit R99.,"69th (177 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
9 thr.Judged by Anna Lipka at CrossFit R99."
52,"DEVINFORDACCEPTED
North East
Age 28
68 in | 190 lb
View Profile",1875,"386th (436 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
2 caloriesJudged by Steve Bendetto at CrossFit Transcend.","887th(4:37)110 reps
345 lb.(4:37)Judged by Steve Bendetto at CrossFit Transcend.",419th (345 lb)345 lb.(4:37)Judged by Steve Bendetto at CrossFit Transcend.,"27th (896 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
80 double-unders(14:00)Judged by Steve Bendetto at CrossFit Transcend.",13th (6:55)165 reps(6:55)Judged by Steve Bendetto at CrossFit Transcend.,"143rd(172 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
4 thr.Judged by Steve Bendetto at CrossFit Transcend."
53,"KHANPORTERACCEPTED
Australasia
Age 28
182 cm | 200 lb
View Profile",1882,"91st (453 reps)14 rounds +
5 toes-to-barsJudged by Renee Novik at CrossFit Play.","457th(4:26)110 reps
333 lb.(4:26)Judged by Renee Novik at CrossFit Play.",984th (333 lb)333 lb.(4:26)Judged by Renee Novik at CrossFit Play.,"128th (813 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
17 snatches(13:27)Judged by Josh Smith at CrossFit Play.",66th (7:39)165 reps(7:39)Judged by Renee Novik at CrossFit Play.,"156th(171 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
3 thr.Judged by Jim Porter at CrossFit Play."
54,"DARWINPEREZACCEPTED
Central East
Age 29
67 in | 175 lb
View Profile",1923,"419th (435 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
1 caloriesJudged by Chelsea Perez at CrossFit 3 Sons.","223rd(4:17)110 reps
345 lb.(4:17)Judged by Chelsea Perez at CrossFit 3 Sons.",417th (345 lb)345 lb.(4:17)Judged by Chelsea Perez at CrossFit 3 Sons.,"78th (828 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
12 double-unders(13:04)Judged by Chelsea Perez at CrossFit 3 Sons.","783rd (155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:53)Judged by Chelsea Perez at CrossFit 3 Sons.","3rd (189 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
21 thr.Judged by Chelsea Perez at CrossFit 3 Sons."
55,"JOSEPHTORTORAACCEPTED
Central East
Age 27
70 in | 200 lb
View Profile",1938,"105th (452 reps)14 rounds +
4 toes-to-barsJudged by Brian Hoar at CrossFit Grandview.","206th(4:16)110 reps
347 lb.(4:16)Judged by Arlington Bell at CrossFit Grandview.",353rd (347 lb)347 lb.(4:16)Judged by Arlington Bell at CrossFit Grandview.,"104th (816 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches(13:10)Judged by Arlington Bell at CrossFit Grandview.","968th (153 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
7 deadlifts(7:49)Judged by Kevin Davies at CrossFit Grandview.","202nd(169 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
1 thr.Judged by Andrew Ekleberry at CrossFit Grandview."
56,"CODYANDERSONACCEPTED
West Coast
Age 26
67 in | 170 lb
View Profile",1949,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Kira Lyon at CrossFit Type 44.","161st(4:13)110 reps
342 lb.(4:13)Judged by Merinda Parazoo at Central Oregon CrossFit.",526th (342 lb)342 lb.(4:13)Judged by Merinda Parazoo at Central Oregon CrossFit.,"54th (853 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
37 double-unders(12:42)Judged by Merinda Parazoo at Central Oregon CrossFit.",239th(8:38)165 reps(8:38)Judged by Carly Fuhrer at CrossFit Type 44.,"69th (177 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
9 thr.Judged by Carly Fuhrer at CrossFit Type 44."
57,"TYLERCHRISTOPHELTEAM
North Central
Age 28
View Profile",1950,"446th (434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Kelly Nicolas at CrossFit 417.","920th(4:38)110 reps
377 lb.(4:38)Judged by Jared Stevens at CrossFit 417.",29th (377 lb)377 lb.(4:38)Judged by Jared Stevens at CrossFit 417.,"149th (811 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
15 snatches(13:32)Judged by John Hunt at CrossFit 417.",287th(8:45)165 reps(8:45)Judged by Jared Stevens at CrossFit 417.,"119th(173 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
5 thr.Judged by Kelly Nicolas at CrossFit 417."
